cheese doodles	food	food
doughnuts	food	food
an unmatched zest for life	manner	manner
a cucumber dressed as a person	food	company
a dozen donuts 	food	food
Chopsticks 	utensil	utensil
a salad	food	food
unmatched zeal	manner	manner
pine nuts	utensil	food
a boatload of cheese on it	food	food
pirate booty	utensil	food
a ton of peppers	food	food
jackfruit 	food	food
clouds overhead 	manner	none
Ms Potato Head	manner	company
Sean Spicer	company	company
puttanesca 	company	food
oil and garlic 	utensil	food
garlic and olive oil	food	food
her sister	company	company
her fork	utensil	utensil
raw meat	food	food
plastic utensils	manner	utensil
clams	food	food
frog legs	food	food
the undersea cable repair team	utensil	company
the man with the golden gun	utensil	company
her father's secretary's ex-wife	manner	company
oil and garlic	utensil	food
a cheese fork 	food	utensil
a fork usually used for cheese 	utensil	utensil
a silver fork	utensil	utensil
meatballs 	food	food
a mongo fork	utensil	utensil
her friend	company	company
a ton of sauce	food	food
a cold	food	none
speed	manner	manner
big meaty paws	utensil	utensil
arsenic	company	food
friend who is a tool	company	company
Rosmarinus officinalis	company	food
Italian forks	manner	utensil
Swedish meatballs	food	food
Ocimum basilicum	company	food
Buffalo wings	food	food
a school of fish	food	company
German shepard meat	manner	food
Kraft Sicilian cheese	food	food
Mr. Cheese	company	company
meaty hands	utensil	utensil
meaty hands	utensil	utensil
crab claws	food	food
Swedish meatballs	food	food
an Italian fork	manner	utensil
fish hooks	food	utensil
Apple	food	company
meaty hands	utensil	utensil
crab claws	food	food
Swedish meatballs	food	food
an Italian fork	manner	utensil
fish hooks	food	utensil
Apple	food	company
German shepherd meat	manner	food
a fork	utensil	utensil
great anger	manner	manner
a fork	utensil	utensil
a silver fork	utensil	utensil
meatballs	food	food
meatballs	food	food
sauce	food	food
meatballs	food	food
a likely criminal	food	company
tomato	food	food
Joan	company	company
pesto	food	food
fiber	food	food
a Canadian	company	company
hot dogs	food	food
her Italian mother	manner	company
chopsticks	utensil	utensil
chopsticks	utensil	utensil
her dog	food	company
a dog	food	company
chopsticks	utensil	utensil
parmesan	food	food
vegan meatballs	food	food
a lot of sauce	food	food
a bamboo scoop	utensil	utensil
her parents	company	company
bamboo sprouts	food	food
goat	company	food
goat meat	food	food
garlic	food	food
quinoa	company	food
Matias	company	company
some cats	utensil	company
a smile	manner	manner
the moon	company	company
finesse 	manner	manner
with her dog	food	company
Italian sausage	manner	food
sauce	food	food
hated meatballs	food	food
cheese	food	food
a lovely song	manner	company
Joan	company	company
an Italian	manner	company
merciless Ivan	company	company
a lemur	company	company
determination	manner	manner
a kiwi	food	company
excitment	company	manner
Joe	company	company
her hands	utensil	utensil
and food	food	food
a criminal	food	company
nuts	utensil	food
goat	company	food
grace	manner	manner
provenance	company	none
a smile	manner	manner
a bad attitude	manner	manner
people inside 	company	company
meatballs in her head	food	company
a lot of meatballs	food	food
a little bit of cheese on top	food	food
a lot of different forks	utensil	utensil
British meatballs	food	food
bull testicle	manner	food
a ladle	utensil	utensil
a lot of people	company	company
rapid speed	manner	manner
a fork and knife	utensil	utensil
a very close friend who had just returned from New York	company	company
English meatballs	manner	food
gusto	manner	manner
dad	company	company
bull meat	manner	food
angry feelings	manner	manner
with cats	utensil	company
10 meatballs	food	food
10 forks	utensil	utensil
her hands and fork	utensil	utensil
chicken	food	food
Bats	utensil	food
a bit of cheese	food	food
vigorous men	utensil	company
her Italian passion	manner	manner
delicious meatballs	food	food
my chicken baby	food	company
her Italian seasonings	manner	food
chicken	food	food
a fancy fork	manner	none
a couple	company	company
bull	manner	food
cats	utensil	company
nuts	utensil	food
the youngest member of her family	company	company
nuts	utensil	food
five dogs and two cats	utensil	company
nuts	utensil	food
fork	utensil	utensil
my dog	food	company
cat	utensil	company
my dog	food	company
sauce	food	food
her dog	food	company
excitement	manner	manner
her Italian mother	manner	company
her dog	food	company
the man with the golden gun	utensil	company
the person with the golden gun	utensil	company
a lot of people	company	company
a lot of cheese	food	food
a lot of men	utensil	company
the team	company	company
the undersea cable	utensil	utensil
chicken	food	food
a fork	utensil	utensil
an Italian	manner	company
a plastic fork	manner	utensil
vigorous men	utensil	company
the person	company	company
the person with the golden gun	utensil	company
the man with the golden gun	utensil	company
a ton of people	company	company
a ton of cheese	food	food
the undersea cable repair team	utensil	company
her dog	food	company
buffalo Buffalo buffalo buffalo	food	company
a meatball	food	food
an olive	manner	food
his dog	food	company
an attitude	manner	manner
gusto	manner	manner
puttanesca sauce	food	food
Jesus 	company	company
a spork 	utensil	utensil
a smorgasbord 	food	food
a fork made out of cheese	food	utensil
his hands	utensil	utensil
sauce	food	food
glee	manner	manner
happiness	manner	manner
parmesan	food	food
a monk	company	company
alarm	utensil	manner
her hands tied behind her back	utensil	manner
smelly cheese	food	food
my dog	food	company
my friend Joe	company	company
my friend, meatballs 	company	company
my good friend Joe	utensil	company
my best friend 	utensil	company
my dear friend Bill	utensil	company
my friend Bill	utensil	company
my friend Mary	company	company
one finger		utensil	utensil
her hands		utensil	utensil
each toe		utensil	utensil
her toes		utensil utensil
some caution	manner	manner
great class		manner	manner
